Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	6	40	400	182	42	23	38	0	0	0	0	0	0	0	0	0	0	0	0	26249933	
1	1	A	1	N	2500	2	2	235	112	23	16	22	0	0	0	0	0	0	0	0	0	0	0	0	26250245	
2	1	A	1	N	2500	6	40	267	142	33	19	28	0	0	0	0	0	0	0	0	0	0	0	0	26250557	
3	1	A	1	N	2500	6	40	277	174	41	26	37	0	0	0	0	0	0	0	0	0	0	0	0	26250635	
4	1	A	1	N	2500	0	40	212	159	36	22	35	0	0	0	0	0	0	0	0	0	0	0	0	26252569	
5	1	A	1	N	2500	0	1	138	150	44	28	34	0	0	0	0	0	0	0	0	0	0	0	0	26252585	
6	1	A	1	N	2500	0	40	369	151	37	22	32	0	0	0	0	0	0	0	0	0	0	0	0	26252866	
7	1	A	1	N	2500	0	40	233	171	46	27	38	0	0	0	0	0	0	0	0	0	0	0	0	26253802	
8	1	A	1	N	2500	0	40	296	172	42	28	38	0	0	0	0	0	0	0	0	0	0	0	0	26254020	
9	1	A	1	N	2500	0	40	267	197	60	35	55	0	0	0	0	0	0	0	0	0	0	0	0	26254254	
10	1	A	1	N	2500	0	40	288	141	37	19	35	0	0	0	0	0	0	0	0	0	0	0	0	26254254	
11	1	A	1	N	2500	0	40	339	154	40	23	33	0	0	0	0	0	0	0	0	0	0	0	0	26254519	
12	1	A	1	N	2500	0	40	330	153	46	23	33	0	0	0	0	0	0	0	0	0	0	0	0	26254566	
13	1	A	1	N	2500	0	40	339	154	38	23	31	0	0	0	0	0	0	0	0	0	0	0	0	26254597	
14	1	A	1	N	2500	0	40	352	189	48	26	41	0	0	0	0	0	0	0	0	0	0	0	0	26254769	
15	1	A	1	N	2500	0	40	197	142	34	18	27	0	0	0	0	0	0	0	0	0	0	0	0	26255268	
16	1	A	1	N	2500	0	1	146	149	38	23	32	0	0	0	0	0	0	0	0	0	0	0	0	26255330	
17	1	A	1	N	2500	0	40	235	149	34	23	33	0	0	0	0	0	0	0	0	0	0	0	0	26255393	
18	1	A	1	N	2500	0	40	210	174	43	28	36	0	0	0	0	0	0	0	0	0	0	0	0	26255440	
19	1	A	1	N	2500	0	40	292	196	46	28	40	0	0	0	0	0	0	0	0	0	0	0	0	26255471	
20	1	A	1	N	2500	0	1	51	10	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	26255611	
21	1	A	1	N	2500	0	1	58	16	7	6	13	0	0	0	0	0	0	0	0	0	0	0	0	26255627	
22	1	A	1	N	2500	0	40	216	130	28	17	25	0	0	0	0	0	0	0	0	0	0	0	0	26255658	
23	1	A	1	N	2500	0	40	344	148	36	20	30	0	0	0	0	0	0	0	0	0	0	0	0	26255752	
24	1	A	1	N	2500	0	40	330	143	29	18	24	0	0	0	0	0	0	0	0	0	0	0	0	26255814	
25	1	A	1	N	2500	0	40	328	157	35	19	29	0	0	0	0	0	0	0	0	0	0	0	0	26255954	
26	1	A	1	N	2500	0	40	352	154	35	23	34	0	0	0	0	0	0	0	0	0	0	0	0	26255954	
