Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	7	N	2500	2	2	317	128	26	17	23	0	0	0	0	0	0	0	0	0	0	0	0	28981730	
1	1	A	7	N	2500	6	40	232	188	48	30	44	0	0	0	0	0	0	0	0	0	0	0	0	28981870	
2	1	A	7	N	2500	2	1	73	64	36	13	15	0	0	0	0	0	0	0	0	0	0	0	0	28982135	
3	1	A	7	N	2500	2	1	60	31	15	7	8	0	0	0	0	0	0	0	0	0	0	0	0	28982135	
4	1	A	7	N	2500	6	40	228	136	30	19	22	0	0	0	0	0	0	0	0	0	0	0	0	28982369	
5	1	A	7	N	2500	6	40	214	151	33	21	30	0	0	0	0	0	0	0	0	0	0	0	0	28982385	
6	1	A	7	N	2500	0	40	383	188	51	27	42	0	0	0	0	0	0	0	0	0	0	0	0	28982416	
7	1	A	7	N	2500	0	40	313	171	46	26	37	0	0	0	0	0	0	0	0	0	0	0	0	28982416	
8	1	A	7	N	2500	0	40	382	148	34	22	34	0	0	0	0	0	0	0	0	0	0	0	0	28982447	
9	1	A	7	N	2500	0	40	300	155	42	27	36	0	0	0	0	0	0	0	0	0	0	0	0	28982478	
10	1	A	7	N	2500	0	40	262	180	43	30	40	0	0	0	0	0	0	0	0	0	0	0	0	28982884	
11	1	A	7	N	2500	0	40	331	181	41	25	37	0	0	0	0	0	0	0	0	0	0	0	0	28982946	
12	1	A	7	N	2500	0	40	247	179	45	29	41	0	0	0	0	0	0	0	0	0	0	0	0	28983009	
13	1	A	7	N	2500	0	1	50	28	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	28983024	
14	1	A	7	N	2500	0	40	303	143	35	20	26	0	0	0	0	0	0	0	0	0	0	0	0	28983024	
15	1	A	7	N	2500	0	1	102	28	15	6	8	0	0	0	0	0	0	0	0	0	0	0	0	28983087	
16	1	A	7	N	2500	0	40	356	188	50	29	35	0	0	0	0	0	0	0	0	0	0	0	0	28983102	
17	1	A	7	N	2500	0	40	269	153	44	26	33	0	0	0	0	0	0	0	0	0	0	0	0	28983134	
