Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	2	1	183	90	23	14	19	0	0	0	0	0	0	0	0	0	0	0	0	32149568	
1	1	A	1	N	2500	2	1	148	92	21	15	18	0	0	0	0	0	0	0	0	0	0	0	0	32149568	
2	1	A	1	N	2500	2	1	60	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32149833	
3	1	A	1	N	2500	2	1	258	113	29	16	20	0	0	0	0	0	0	0	0	0	0	0	0	32150004	
4	1	A	1	N	2500	2	1	276	98	23	15	22	0	0	0	0	0	0	0	0	0	0	0	0	32150176	
5	1	A	1	N	2500	2	1	261	110	28	16	20	0	0	0	0	0	0	0	0	0	0	0	0	32150285	
6	1	A	1	N	2500	2	1	126	73	21	15	19	0	0	0	0	0	0	0	0	0	0	0	0	32150441	
7	1	A	1	N	2500	6	40	312	124	30	17	27	0	0	0	0	0	0	0	0	0	0	0	0	32150722	
8	1	A	1	N	2500	2	1	235	88	21	12	17	0	0	0	0	0	0	0	0	0	0	0	0	32150862	
9	1	A	1	N	2500	2	1	195	108	23	14	17	0	0	0	0	0	0	0	0	0	0	0	0	32150862	
10	1	A	1	N	2500	8	40	210	107	33	23	30	0	0	0	0	0	0	0	0	0	0	0	0	32150878	
11	1	A	1	N	2500	6	40	218	114	34	20	25	0	0	0	0	0	0	0	0	0	0	0	0	32150987	
12	1	A	1	N	2500	2	1	61	14	3	3	7	0	0	0	0	0	0	0	0	0	0	0	0	32151143	
13	1	A	1	N	2500	2	1	290	97	24	12	17	0	0	0	0	0	0	0	0	0	0	0	0	32151330	
14	1	A	1	N	2500	2	1	227	89	18	12	18	0	0	0	0	0	0	0	0	0	0	0	0	32151330	
15	1	A	1	N	2500	2	1	270	109	28	16	25	0	0	0	0	0	0	0	0	0	0	0	0	32151580	
16	1	A	1	N	2500	2	1	143	91	24	14	19	0	0	0	0	0	0	0	0	0	0	0	0	32151674	
17	1	A	1	N	2500	6	40	304	123	30	17	29	0	0	0	0	0	0	0	0	0	0	0	0	32152110	
18	1	A	1	N	2500	0	1	148	53	13	11	20	0	0	0	0	0	0	0	0	0	0	0	0	32152126	
19	1	A	1	N	2500	0	1	223	78	18	12	19	0	0	0	0	0	0	0	0	0	0	0	0	32152376	
20	1	A	1	N	2500	0	1	290	95	19	11	14	0	0	0	0	0	0	0	0	0	0	0	0	32152422	
21	1	A	1	N	2500	0	1	109	74	16	12	15	0	0	0	0	0	0	0	0	0	0	0	0	32152438	
22	1	A	1	N	2500	0	1	270	113	27	17	22	0	0	0	0	0	0	0	0	0	0	0	0	32152532	
23	1	A	1	N	2500	0	1	263	100	27	13	21	0	0	0	0	0	0	0	0	0	0	0	0	32152625	
24	1	A	1	N	2500	0	1	133	85	17	11	14	0	0	0	0	0	0	0	0	0	0	0	0	32152766	
25	1	A	1	N	2500	0	1	74	16	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	32152890	
26	1	A	1	N	2500	0	1	283	97	20	13	16	0	0	0	0	0	0	0	0	0	0	0	0	32153000	
27	1	A	1	N	2500	0	1	175	98	24	14	22	0	0	0	0	0	0	0	0	0	0	0	0	32153062	
28	1	A	1	N	2500	0	40	295	132	36	21	33	0	0	0	0	0	0	0	0	0	0	0	0	32153156	
29	1	A	1	N	2500	0	1	283	114	30	16	23	0	0	0	0	0	0	0	0	0	0	0	0	32153218	
30	1	A	1	N	2500	0	1	253	82	20	12	15	0	0	0	0	0	0	0	0	0	0	0	0	32153234	
31	1	A	1	N	2500	0	1	162	111	25	16	23	0	0	0	0	0	0	0	0	0	0	0	0	32153265	
32	1	A	1	N	2500	0	2	220	116	25	16	23	0	0	0	0	0	0	0	0	0	0	0	0	32153312	
33	1	A	1	N	2500	0	1	310	118	31	18	22	0	0	0	0	0	0	0	0	0	0	0	0	32153546	
34	1	A	1	N	2500	0	1	142	109	33	20	25	0	0	0	0	0	0	0	0	0	0	0	0	32153546	
35	1	A	1	N	2500	0	40	199	144	36	23	29	0	0	0	0	0	0	0	0	0	0	0	0	32153592	
36	1	A	1	N	2500	0	1	181	100	23	15	21	0	0	0	0	0	0	0	0	0	0	0	0	32153608	
37	1	A	1	N	2500	0	1	226	74	17	12	16	0	0	0	0	0	0	0	0	0	0	0	0	32153624	
38	1	A	1	N	2500	0	1	132	86	19	13	18	0	0	0	0	0	0	0	0	0	0	0	0	32153717	
39	1	A	1	N	2500	0	1	142	96	22	15	18	0	0	0	0	0	0	0	0	0	0	0	0	32154341	
40	1	A	1	N	2500	0	1	179	66	16	11	16	0	0	0	0	0	0	0	0	0	0	0	0	32154372	
41	1	A	1	N	2500	0	40	238	119	29	20	25	0	0	0	0	0	0	0	0	0	0	0	0	32154575	
42	1	A	1	N	2500	0	1	199	99	23	14	20	0	0	0	0	0	0	0	0	0	0	0	0	32154684	
43	1	A	1	N	2500	0	1	147	33	9	7	13	0	0	0	0	0	0	0	0	0	0	0	0	32154700	
44	1	A	1	N	2500	0	1	84	16	5	4	8	0	0	0	0	0	0	0	0	0	0	0	0	32154825	
45	1	A	1	N	2500	0	1	230	78	17	12	16	0	0	0	0	0	0	0	0	0	0	0	0	32154856	
46	1	A	1	N	2500	0	1	172	119	42	22	30	0	0	0	0	0	0	0	0	0	0	0	0	32154856	
47	1	A	1	N	2500	0	1	276	104	30	15	17	0	0	0	0	0	0	0	0	0	0	0	0	32155246	
48	1	A	1	N	2500	0	1	334	124	29	16	26	0	0	0	0	0	0	0	0	0	0	0	0	32155293	
49	1	A	1	N	2500	0	40	198	131	31	19	25	0	0	0	0	0	0	0	0	0	0	0	0	32155324	
50	1	A	1	N	2500	0	1	306	99	20	14	20	0	0	0	0	0	0	0	0	0	0	0	0	32155496	
51	1	A	1	N	2500	0	1	139	110	30	17	25	0	0	0	0	0	0	0	0	0	0	0	0	32155496	
52	1	A	1	N	2500	0	40	293	121	27	16	21	0	0	0	0	0	0	0	0	0	0	0	0	32155511	
53	1	A	1	N	2500	0	1	187	102	22	15	19	0	0	0	0	0	0	0	0	0	0	0	0	32155636	
54	1	A	1	N	2500	0	1	196	94	19	13	18	0	0	0	0	0	0	0	0	0	0	0	0	32155683	
55	1	A	1	N	2500	0	40	239	119	34	20	28	0	0	0	0	0	0	0	0	0	0	0	0	32155698	
56	1	A	1	N	2500	0	1	309	109	21	14	18	0	0	0	0	0	0	0	0	0	0	0	0	32156104	
57	1	A	1	N	2500	0	1	151	66	17	12	17	0	0	0	0	0	0	0	0	0	0	0	0	32156744	
58	1	A	1	N	2500	0	1	198	104	25	14	19	0	0	0	0	0	0	0	0	0	0	0	0	32156775	
59	1	A	1	N	2500	0	40	253	118	27	18	23	0	0	0	0	0	0	0	0	0	0	0	0	32156775	
60	1	A	1	N	2500	0	1	224	105	28	16	20	0	0	0	0	0	0	0	0	0	0	0	0	32156978	
61	1	B	1	N	2500	2	1	138	131	34	21	28	0	0	0	0	0	0	0	0	0	0	0	0	32163826	
62	1	B	1	N	2500	2	1	180	104	25	15	21	0	0	0	0	0	0	0	0	0	0	0	0	32164154	
63	1	B	1	N	2500	2	1	207	90	30	18	21	0	0	0	0	0	0	0	0	0	0	0	0	32164512	
64	1	B	1	N	2500	6	40	273	139	37	23	28	0	0	0	0	0	0	0	0	0	0	0	0	32164528	
65	1	B	1	N	2500	4	40	314	126	32	18	22	0	0	0	0	0	0	0	0	0	0	0	0	32164778	
66	1	B	1	N	2500	2	1	254	81	20	12	22	0	0	0	0	0	0	0	0	0	0	0	0	32164778	
67	1	B	1	N	2500	2	1	129	129	32	20	27	0	0	0	0	0	0	0	0	0	0	0	0	32164856	
68	1	B	1	N	2500	2	1	282	98	22	14	20	0	0	0	0	0	0	0	0	0	0	0	0	32164934	
69	1	B	1	N	2500	8	40	326	136	36	20	29	0	0	0	0	0	0	0	0	0	0	0	0	32164934	
70	1	B	1	N	2500	2	1	150	97	19	11	17	0	0	0	0	0	0	0	0	0	0	0	0	32165105	
71	1	B	1	N	2500	2	1	80	20	4	5	8	0	0	0	0	0	0	0	0	0	0	0	0	32165136	
72	1	B	1	N	2500	2	1	278	106	22	15	18	0	0	0	0	0	0	0	0	0	0	0	0	32165292	
73	1	B	1	N	2500	2	1	122	37	17	5	8	0	0	0	0	0	0	0	0	0	0	0	0	32165433	
74	1	B	1	N	2500	2	1	244	87	19	11	14	0	0	0	0	0	0	0	0	0	0	0	0	32165511	
75	1	B	1	N	2500	2	2	218	121	24	16	20	0	0	0	0	0	0	0	0	0	0	0	0	32165573	
76	1	B	1	N	2500	2	1	190	90	22	16	19	0	0	0	0	0	0	0	0	0	0	0	0	32165620	
77	1	B	1	N	2500	2	1	182	114	29	18	22	0	0	0	0	0	0	0	0	0	0	0	0	32165823	
78	1	B	1	N	2500	2	1	210	81	20	14	19	0	0	0	0	0	0	0	0	0	0	0	0	32166010	
79	1	B	1	N	2500	2	1	78	27	10	2	3	0	0	0	0	0	0	0	0	0	0	0	0	32166119	
80	1	B	1	N	2500	2	1	184	101	29	18	23	0	0	0	0	0	0	0	0	0	0	0	0	32166228	
81	1	B	1	N	2500	6	40	229	141	39	27	39	0	0	0	0	0	0	0	0	0	0	0	0	32166260	
82	1	B	1	N	2500	2	1	174	92	19	13	18	0	0	0	0	0	0	0	0	0	0	0	0	32166291	
83	1	B	1	N	2500	2	1	53	21	20	27	49	0	0	0	0	0	0	0	0	0	0	0	0	32166540	
84	1	B	1	N	2500	2	1	291	118	29	17	28	0	0	0	0	0	0	0	0	0	0	0	0	32166774	
85	1	B	1	N	2500	8	40	323	138	35	20	23	0	0	0	0	0	0	0	0	0	0	0	0	32166790	
86	1	B	1	N	2500	2	1	246	94	20	14	16	0	0	0	0	0	0	0	0	0	0	0	0	32166837	
87	1	B	1	N	2500	2	1	158	99	22	14	18	0	0	0	0	0	0	0	0	0	0	0	0	32167071	
88	1	B	1	N	2500	2	1	255	89	23	13	21	0	0	0	0	0	0	0	0	0	0	0	0	32167086	
89	1	B	1	N	2500	2	1	179	124	27	19	22	0	0	0	0	0	0	0	0	0	0	0	0	32167305	
90	1	B	1	N	2500	2	1	227	94	20	13	18	0	0	0	0	0	0	0	0	0	0	0	0	32167352	
91	1	B	1	N	2500	6	40	301	153	40	25	31	0	0	0	0	0	0	0	0	0	0	0	0	32167383	
92	1	B	1	N	2500	0	1	298	110	24	14	21	0	0	0	0	0	0	0	0	0	0	0	0	32167851	
