Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	497	1504	125	105	65	0	0	0	0	0	0	0	0	0	0	0	0	17010268	
1	1	A	1	N	2500	0	40	20	19	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	17010424	
2	1	A	1	N	2500	0	40	21	17	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	17010471	
3	1	A	1	N	2500	0	40	583	1948	205	202	170	0	0	0	0	0	0	0	0	0	0	0	0	17012952	
4	1	A	1	N	2500	0	40	97	155	28	23	12	0	0	0	0	0	0	0	0	0	0	0	0	17013248	
5	1	A	1	N	2500	0	40	259	444	21	18	14	0	0	0	0	0	0	0	0	0	0	0	0	17013264	
6	1	A	1	N	2500	0	40	24	21	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	17014699	
7	1	A	1	N	2500	0	40	32	31	3	4	7	0	0	0	0	0	0	0	0	0	0	0	0	17014699	
8	1	A	1	N	2500	0	40	25	49	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17014730	
9	1	A	1	N	2500	0	40	298	459	21	14	11	0	0	0	0	0	0	0	0	0	0	0	0	17014808	
10	1	A	1	N	2500	0	40	301	1164	86	75	51	0	0	0	0	0	0	0	0	0	0	0	0	17015323	
11	1	A	1	N	2500	0	40	141	427	23	17	10	0	0	0	0	0	0	0	0	0	0	0	0	17016399	
12	1	A	1	N	2500	0	40	144	222	30	39	43	0	0	0	0	0	0	0	0	0	0	0	0	17017039	
13	1	A	1	N	2500	0	40	470	1319	89	72	49	0	0	0	0	0	0	0	0	0	0	0	0	17017086	
14	1	A	1	N	2500	0	40	236	747	47	52	44	0	0	0	0	0	0	0	0	0	0	0	0	17017117	
15	1	A	1	N	2500	0	40	43	46	5	8	9	0	0	0	0	0	0	0	0	0	0	0	0	17017179	
16	1	A	1	N	2500	0	40	134	162	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	17017476	
17	1	A	2	N	2500	0	40	267	402	20	14	8	0	0	0	0	0	0	0	0	0	0	0	0	17024636	
18	1	A	2	N	2500	0	40	46	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17024667	
