Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	6	40	225	114	33	24	32	0	0	0	0	0	0	0	0	0	0	0	0	62884755	
1	1	A	2	N	2500	6	40	178	138	53	40	56	0	0	0	0	0	0	0	0	0	0	0	0	62892633	
2	1	A	2	N	2500	6	40	354	141	38	31	46	0	0	0	0	0	0	0	0	0	0	0	0	62893289	
3	1	A	2	N	2500	6	40	262	155	44	36	54	0	0	0	0	0	0	0	0	0	0	0	0	62893491	
4	1	A	2	N	2500	0	40	339	155	46	34	48	0	0	0	0	0	0	0	0	0	0	0	0	62893538	
5	1	A	2	N	2500	0	40	201	145	49	36	48	0	0	0	0	0	0	0	0	0	0	0	0	62893819	
6	1	A	2	N	2500	0	40	267	96	24	20	32	0	0	0	0	0	0	0	0	0	0	0	0	62894771	
7	1	A	2	N	2500	0	40	303	100	29	19	28	0	0	0	0	0	0	0	0	0	0	0	0	62894802	
8	1	A	2	N	2500	0	40	353	136	38	31	46	0	0	0	0	0	0	0	0	0	0	0	0	62895114	
9	1	A	2	N	2500	0	40	305	159	45	39	57	0	0	0	0	0	0	0	0	0	0	0	0	62895192	
10	1	A	2	N	2500	0	40	247	139	40	35	48	0	0	0	0	0	0	0	0	0	0	0	0	62895317	
11	1	A	2	N	2500	0	40	210	140	43	35	50	0	0	0	0	0	0	0	0	0	0	0	0	62895597	
12	1	A	2	N	2500	0	1	59	17	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	62896065	
13	1	A	2	N	2500	0	40	205	130	43	30	42	0	0	0	0	0	0	0	0	0	0	0	0	62896658	
14	1	A	2	N	2500	0	40	361	147	37	33	48	0	0	0	0	0	0	0	0	0	0	0	0	62897048	
15	1	A	2	N	2500	0	40	186	121	34	26	38	0	0	0	0	0	0	0	0	0	0	0	0	62897142	
16	1	A	2	N	2500	0	40	323	120	33	26	41	0	0	0	0	0	0	0	0	0	0	0	0	62897157	
17	1	A	2	N	2500	0	40	352	149	41	30	47	0	0	0	0	0	0	0	0	0	0	0	0	62897282	
18	1	A	2	N	2500	0	40	297	142	41	33	44	0	0	0	0	0	0	0	0	0	0	0	0	62897407	
19	1	A	2	N	2500	0	40	348	160	54	45	67	0	0	0	0	0	0	0	0	0	0	0	0	62897438	
20	1	A	2	N	2500	0	40	290	133	36	29	47	0	0	0	0	0	0	0	0	0	0	0	0	62897438	
21	1	A	2	N	2500	0	40	371	161	52	39	55	0	0	0	0	0	0	0	0	0	0	0	0	62897454	
22	1	A	2	N	2500	0	40	382	158	43	36	56	0	0	0	0	0	0	0	0	0	0	0	0	62897579	
23	1	A	2	N	2500	0	40	275	124	32	27	37	0	0	0	0	0	0	0	0	0	0	0	0	62897672	
24	1	A	2	N	2500	0	40	247	150	38	32	48	0	0	0	0	0	0	0	0	0	0	0	0	62897672	
25	1	A	2	N	2500	0	40	395	156	42	38	56	0	0	0	0	0	0	0	0	0	0	0	0	62897719	
26	1	A	2	N	2500	0	40	420	172	52	39	54	0	0	0	0	0	0	0	0	0	0	0	0	62897813	
27	1	A	2	N	2500	0	40	476	195	58	41	59	0	0	0	0	0	0	0	0	0	0	0	0	62897891	
28	1	A	2	N	2500	0	2	152	137	48	33	47	0	0	0	0	0	0	0	0	0	0	0	0	62898078	
29	1	A	2	N	2500	0	40	383	186	55	42	64	0	0	0	0	0	0	0	0	0	0	0	0	62898702	
30	1	A	2	N	2500	0	40	208	173	55	41	54	0	0	0	0	0	0	0	0	0	0	0	0	62898749	
31	1	A	2	N	2500	0	1	61	15	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	62898764	
32	1	A	2	N	2500	0	40	391	174	45	37	53	0	0	0	0	0	0	0	0	0	0	0	0	62899248	
33	1	A	2	N	2500	0	40	276	118	42	29	46	0	0	0	0	0	0	0	0	0	0	0	0	62899544	
34	1	A	2	N	2500	0	40	329	138	36	29	41	0	0	0	0	0	0	0	0	0	0	0	0	62899653	
35	1	A	3	N	2500	2	1	197	79	20	15	25	0	0	0	0	0	0	0	0	0	0	0	0	62910215	
36	1	A	4	N	2500	6	40	438	168	44	37	57	0	0	0	0	0	0	0	0	0	0	0	0	62921337	
37	1	A	4	N	2500	6	40	422	161	44	36	56	0	0	0	0	0	0	0	0	0	0	0	0	62921462	
38	1	A	4	N	2500	6	40	356	134	41	31	53	0	0	0	0	0	0	0	0	0	0	0	0	62921774	
39	1	A	4	N	2500	0	40	369	146	41	32	50	0	0	0	0	0	0	0	0	0	0	0	0	62923911	
40	1	A	4	N	2500	0	40	245	105	36	31	41	0	0	0	0	0	0	0	0	0	0	0	0	62924021	
41	1	A	4	N	2500	0	40	378	141	35	32	52	0	0	0	0	0	0	0	0	0	0	0	0	62924426	
42	1	A	4	N	2500	0	40	410	163	45	39	60	0	0	0	0	0	0	0	0	0	0	0	0	62924426	
43	1	A	4	N	2500	0	40	365	133	31	25	43	0	0	0	0	0	0	0	0	0	0	0	0	62924707	
44	1	A	4	N	2500	0	1	175	47	10	10	16	0	0	0	0	0	0	0	0	0	0	0	0	62925300	
45	1	A	4	N	2500	0	1	106	53	15	13	19	0	0	0	0	0	0	0	0	0	0	0	0	62925300	
46	1	A	4	N	2500	0	40	201	127	38	35	52	0	0	0	0	0	0	0	0	0	0	0	0	62925503	
47	1	A	4	N	2500	0	1	159	37	10	9	16	0	0	0	0	0	0	0	0	0	0	0	0	62925565	
48	1	A	4	N	2500	0	1	228	94	25	20	34	0	0	0	0	0	0	0	0	0	0	0	0	62925565	
49	1	A	4	N	2500	0	40	345	127	33	26	41	0	0	0	0	0	0	0	0	0	0	0	0	62925674	
50	1	A	4	N	2500	0	40	337	112	29	24	36	0	0	0	0	0	0	0	0	0	0	0	0	62925721	
51	1	A	4	N	2500	0	1	171	42	8	6	13	0	0	0	0	0	0	0	0	0	0	0	0	62925846	
52	1	A	4	N	2500	0	40	273	133	46	33	48	0	0	0	0	0	0	0	0	0	0	0	0	62926267	
53	1	A	4	N	2500	0	40	222	143	41	35	53	0	0	0	0	0	0	0	0	0	0	0	0	62926563	
