Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	6	40	357	134	27	17	26	0	0	0	0	0	0	0	0	0	0	0	0	45344332	
1	1	A	1	N	2500	6	40	337	124	22	19	28	0	0	0	0	0	0	0	0	0	0	0	0	45348856	
2	1	A	2	N	2500	2	1	51	14	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	45359090	
3	1	A	2	N	2500	2	1	274	84	15	11	18	0	0	0	0	0	0	0	0	0	0	0	0	45359979	
4	1	A	2	N	2500	2	1	88	21	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	45360385	
5	1	A	2	N	2500	2	1	80	16	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	45360385	
6	1	A	2	N	2500	6	40	271	99	22	14	20	0	0	0	0	0	0	0	0	0	0	0	0	45360447	
7	1	A	2	N	2500	6	40	274	103	24	15	27	0	0	0	0	0	0	0	0	0	0	0	0	45360619	
8	1	A	2	N	2500	2	1	126	51	9	4	10	0	0	0	0	0	0	0	0	0	0	0	0	45360666	
9	1	A	2	N	2500	6	40	292	130	29	24	32	0	0	0	0	0	0	0	0	0	0	0	0	45361399	
10	1	A	2	N	2500	0	40	289	97	15	12	21	0	0	0	0	0	0	0	0	0	0	0	0	45361477	
11	1	A	2	N	2500	0	1	257	87	13	10	18	0	0	0	0	0	0	0	0	0	0	0	0	45361555	
12	1	A	2	N	2500	0	1	82	20	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	45361633	
13	1	A	2	N	2500	0	1	73	23	15	1	4	0	0	0	0	0	0	0	0	0	0	0	0	45362148	
14	1	A	2	N	2500	0	1	88	29	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	45362553	
15	1	A	2	N	2500	0	1	155	89	18	13	19	0	0	0	0	0	0	0	0	0	0	0	0	45362818	
16	1	A	2	N	2500	0	40	373	114	18	13	18	0	0	0	0	0	0	0	0	0	0	0	0	45363130	
17	1	A	2	N	2500	0	40	268	105	17	13	18	0	0	0	0	0	0	0	0	0	0	0	0	45363224	
18	1	A	2	N	2500	0	1	184	103	20	14	18	0	0	0	0	0	0	0	0	0	0	0	0	45363286	
19	1	A	2	N	2500	0	1	83	20	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	45363411	
20	1	A	2	N	2500	0	1	172	45	6	4	9	0	0	0	0	0	0	0	0	0	0	0	0	45363614	
21	1	A	2	N	2500	0	40	308	123	23	17	24	0	0	0	0	0	0	0	0	0	0	0	0	45363926	
22	1	A	2	N	2500	0	1	229	77	18	12	20	0	0	0	0	0	0	0	0	0	0	0	0	45364082	
23	1	A	2	N	2500	0	1	143	64	10	8	13	0	0	0	0	0	0	0	0	0	0	0	0	45364332	
24	1	A	4	N	2500	2	1	157	62	10	6	8	0	0	0	0	0	0	0	0	0	0	0	0	45387357	
25	1	A	4	N	2500	2	1	69	38	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	45387981	
26	1	A	4	N	2500	2	1	198	99	27	16	25	0	0	0	0	0	0	0	0	0	0	0	0	45388168	
27	1	A	4	N	2500	6	40	297	123	23	16	22	0	0	0	0	0	0	0	0	0	0	0	0	45388449	
28	1	A	4	N	2500	2	1	162	99	23	14	21	0	0	0	0	0	0	0	0	0	0	0	0	45389650	
29	1	A	4	N	2500	6	40	291	102	19	12	20	0	0	0	0	0	0	0	0	0	0	0	0	45389775	
30	1	A	4	N	2500	6	40	311	140	33	21	29	0	0	0	0	0	0	0	0	0	0	0	0	45389791	
31	1	A	4	N	2500	0	1	58	13	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	45390103	
32	1	A	4	N	2500	0	1	209	105	20	15	24	0	0	0	0	0	0	0	0	0	0	0	0	45390181	
33	1	A	4	N	2500	0	40	297	123	22	15	22	0	0	0	0	0	0	0	0	0	0	0	0	45390555	
34	1	A	4	N	2500	0	1	131	60	9	8	11	0	0	0	0	0	0	0	0	0	0	0	0	45390602	
35	1	A	4	N	2500	0	1	197	64	9	5	8	0	0	0	0	0	0	0	0	0	0	0	0	45390930	
36	1	A	4	N	2500	0	1	169	78	12	9	16	0	0	0	0	0	0	0	0	0	0	0	0	45391101	
37	1	A	4	N	2500	0	40	283	123	24	15	20	0	0	0	0	0	0	0	0	0	0	0	0	45391148	
38	1	A	4	N	2500	0	1	285	77	10	8	15	0	0	0	0	0	0	0	0	0	0	0	0	45391179	
39	1	A	4	N	2500	0	40	328	136	32	19	28	0	0	0	0	0	0	0	0	0	0	0	0	45391242	
40	1	A	4	N	2500	0	40	310	139	28	19	26	0	0	0	0	0	0	0	0	0	0	0	0	45391257	
41	1	A	4	N	2500	0	40	334	137	28	19	30	0	0	0	0	0	0	0	0	0	0	0	0	45391351	
42	1	A	4	N	2500	0	1	254	78	11	7	13	0	0	0	0	0	0	0	0	0	0	0	0	45391507	
43	1	A	4	N	2500	0	40	301	98	19	13	20	0	0	0	0	0	0	0	0	0	0	0	0	45391600	
44	1	A	4	N	2500	0	40	343	101	20	12	19	0	0	0	0	0	0	0	0	0	0	0	0	45391725	
45	1	A	4	N	2500	0	1	53	11	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	45391725	
46	1	A	4	N	2500	0	40	283	91	16	11	16	0	0	0	0	0	0	0	0	0	0	0	0	45391834	
47	1	A	4	N	2500	0	1	50	22	7	5	9	0	0	0	0	0	0	0	0	0	0	0	0	45392162	
48	1	A	4	N	2500	0	1	53	35	10	11	23	0	0	0	0	0	0	0	0	0	0	0	0	45392287	
49	1	A	4	N	2500	0	1	115	20	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	45392583	
50	1	A	4	N	2500	0	40	328	121	22	13	23	0	0	0	0	0	0	0	0	0	0	0	0	45392755	
51	1	A	4	N	2500	0	40	282	92	17	11	19	0	0	0	0	0	0	0	0	0	0	0	0	45392817	
52	1	A	4	N	2500	0	1	169	95	21	13	20	0	0	0	0	0	0	0	0	0	0	0	0	45392926	
53	1	A	4	N	2500	0	40	358	136	27	18	31	0	0	0	0	0	0	0	0	0	0	0	0	45393098	
54	1	A	4	N	2500	0	1	259	79	11	9	16	0	0	0	0	0	0	0	0	0	0	0	0	45393550	
55	1	A	4	N	2500	0	40	371	139	29	17	27	0	0	0	0	0	0	0	0	0	0	0	0	45393769	
56	1	A	4	N	2500	0	1	59	24	6	5	10	0	0	0	0	0	0	0	0	0	0	0	0	45394018	
57	1	A	6	N	2500	6	40	295	145	28	18	29	0	0	0	0	0	0	0	0	0	0	0	0	45416638	
58	1	A	6	N	2500	2	1	184	80	13	8	15	0	0	0	0	0	0	0	0	0	0	0	0	45417216	
59	1	A	6	N	2500	6	40	282	134	31	20	28	0	0	0	0	0	0	0	0	0	0	0	0	45417278	
60	1	A	6	N	2500	2	1	178	113	29	19	28	0	0	0	0	0	0	0	0	0	0	0	0	45417699	
