Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	G	8	N	2500	6	40	321	131	24	17	22	0	0	0	0	0	0	0	0	0	0	0	0	23367956	
1	1	G	8	N	2500	2	1	98	27	5	4	8	0	0	0	0	0	0	0	0	0	0	0	0	23368565	
2	1	G	8	N	2500	8	40	249	114	25	20	26	0	0	0	0	0	0	0	0	0	0	0	0	23368580	
3	1	G	8	N	2500	6	40	319	148	29	24	30	0	0	0	0	0	0	0	0	0	0	0	0	23368908	
4	1	G	8	N	2500	6	40	390	154	29	23	34	0	0	0	0	0	0	0	0	0	0	0	0	23369157	
5	1	G	8	N	2500	0	40	337	145	30	22	29	0	0	0	0	0	0	0	0	0	0	0	0	23369157	
6	1	G	8	N	2500	0	40	362	148	33	26	37	0	0	0	0	0	0	0	0	0	0	0	0	23369641	
7	1	G	8	N	2500	0	40	353	145	29	21	26	0	0	0	0	0	0	0	0	0	0	0	0	23370015	
8	1	G	8	N	2500	0	1	173	77	11	8	13	0	0	0	0	0	0	0	0	0	0	0	0	23370062	
9	1	G	8	N	2500	0	40	328	161	30	27	33	0	0	0	0	0	0	0	0	0	0	0	0	23370093	
10	1	G	8	N	2500	0	2	163	129	26	23	29	0	0	0	0	0	0	0	0	0	0	0	0	23370437	
11	1	G	8	N	2500	0	1	50	32	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	23370655	
12	1	G	8	N	2500	0	40	354	140	26	18	29	0	0	0	0	0	0	0	0	0	0	0	0	23370936	
13	1	G	8	N	2500	0	1	243	96	20	15	21	0	0	0	0	0	0	0	0	0	0	0	0	23370983	
14	1	G	8	N	2500	0	40	393	148	27	21	30	0	0	0	0	0	0	0	0	0	0	0	0	23371341	
15	1	G	8	N	2500	0	40	299	142	28	18	27	0	0	0	0	0	0	0	0	0	0	0	0	23371513	
16	1	G	8	N	2500	0	40	327	118	23	15	24	0	0	0	0	0	0	0	0	0	0	0	0	23371591	
