Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	2	N	2500	2	1	164	87	23	19	26	0	0	0	0	0	0	0	0	0	0	0	0	12986061	
1	1	A	2	N	2500	2	1	145	75	18	15	21	0	0	0	0	0	0	0	0	0	0	0	0	12987481	
2	1	A	2	N	2500	6	40	315	91	19	15	23	0	0	0	0	0	0	0	0	0	0	0	0	12987840	
3	1	A	2	N	2500	6	40	255	104	22	17	27	0	0	0	0	0	0	0	0	0	0	0	0	12988167	
4	1	A	2	N	2500	6	40	290	102	21	17	27	0	0	0	0	0	0	0	0	0	0	0	0	12988230	
5	1	A	2	N	2500	0	1	226	53	10	7	9	0	0	0	0	0	0	0	0	0	0	0	0	12988682	
6	1	A	2	N	2500	0	40	307	96	17	13	21	0	0	0	0	0	0	0	0	0	0	0	0	12988776	
7	1	A	2	N	2500	0	40	373	144	30	23	34	0	0	0	0	0	0	0	0	0	0	0	0	12988822	
8	1	A	2	N	2500	0	1	152	84	14	12	20	0	0	0	0	0	0	0	0	0	0	0	0	12989493	
9	1	A	2	N	2500	0	40	334	114	30	23	33	0	0	0	0	0	0	0	0	0	0	0	0	12989556	
10	1	A	2	N	2500	0	40	329	120	27	22	31	0	0	0	0	0	0	0	0	0	0	0	0	12989727	
11	1	A	2	N	2500	0	40	236	116	33	23	31	0	0	0	0	0	0	0	0	0	0	0	0	12989868	
12	1	A	2	N	2500	0	1	240	74	16	12	17	0	0	0	0	0	0	0	0	0	0	0	0	12989883	
13	1	A	2	N	2500	0	1	147	34	4	4	7	0	0	0	0	0	0	0	0	0	0	0	0	12989977	
14	1	A	2	N	2500	0	1	228	94	22	15	25	0	0	0	0	0	0	0	0	0	0	0	0	12990289	
15	1	A	2	N	2500	0	1	50	9	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	12990975	
16	1	A	2	N	2500	0	1	92	76	32	41	79	0	0	0	0	0	0	0	0	0	0	0	0	12991350	
17	1	A	4	N	2500	6	40	327	115	26	19	28	0	0	0	0	0	0	0	0	0	0	0	0	13014328	
18	1	A	4	N	2500	6	40	377	128	32	22	33	0	0	0	0	0	0	0	0	0	0	0	0	13014547	
19	1	A	4	N	2500	2	1	448	134	30	23	37	0	0	0	0	0	0	0	0	0	0	0	0	13018525	
20	1	A	6	N	2500	6	40	214	135	40	28	40	0	0	0	0	0	0	0	0	0	0	0	0	13043064	
21	1	A	6	N	2500	6	40	235	118	33	28	41	0	0	0	0	0	0	0	0	0	0	0	0	13043391	
22	1	A	6	N	2500	6	40	394	145	34	27	46	0	0	0	0	0	0	0	0	0	0	0	0	13043454	
23	1	A	6	N	2500	0	40	300	131	37	26	34	0	0	0	0	0	0	0	0	0	0	0	0	13043610	
24	1	A	6	N	2500	0	40	269	110	25	21	38	0	0	0	0	0	0	0	0	0	0	0	0	13043656	
25	1	A	6	N	2500	0	40	269	105	24	22	32	0	0	0	0	0	0	0	0	0	0	0	0	13043734	
26	1	A	6	N	2500	0	40	206	141	40	31	44	0	0	0	0	0	0	0	0	0	0	0	0	13044156	
27	1	A	6	N	2500	0	40	309	112	27	20	28	0	0	0	0	0	0	0	0	0	0	0	0	13044280	
28	1	A	6	N	2500	0	1	167	95	26	22	32	0	0	0	0	0	0	0	0	0	0	0	0	13044421	
29	1	A	6	N	2500	0	1	54	15	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13044639	
30	1	A	6	N	2500	0	1	229	94	27	21	35	0	0	0	0	0	0	0	0	0	0	0	0	13044670	
31	1	A	6	N	2500	0	40	243	126	33	30	44	0	0	0	0	0	0	0	0	0	0	0	0	13045092	
32	1	A	6	N	2500	0	40	296	123	36	28	39	0	0	0	0	0	0	0	0	0	0	0	0	13045435	
33	1	A	6	N	2500	0	40	310	130	37	32	42	0	0	0	0	0	0	0	0	0	0	0	0	13045560	
34	1	A	6	N	2500	0	40	211	127	37	33	46	0	0	0	0	0	0	0	0	0	0	0	0	13045747	
35	1	A	6	N	2500	0	40	273	112	26	24	36	0	0	0	0	0	0	0	0	0	0	0	0	13045934	
36	1	A	6	N	2500	0	1	101	24	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13045981	
37	1	A	6	N	2500	0	1	69	18	8	2	5	0	0	0	0	0	0	0	0	0	0	0	0	13046090	
38	1	A	6	N	2500	0	40	227	128	32	28	37	0	0	0	0	0	0	0	0	0	0	0	0	13046293	
39	1	A	6	N	2500	0	40	257	131	37	31	43	0	0	0	0	0	0	0	0	0	0	0	0	13046433	
40	1	A	6	N	2500	0	40	387	146	43	33	43	0	0	0	0	0	0	0	0	0	0	0	0	13046511	
41	1	A	6	N	2500	0	40	358	143	32	28	42	0	0	0	0	0	0	0	0	0	0	0	0	13046979	
42	1	A	6	N	2500	0	40	303	128	33	28	41	0	0	0	0	0	0	0	0	0	0	0	0	13047260	
43	1	A	6	N	2500	0	40	308	149	36	29	41	0	0	0	0	0	0	0	0	0	0	0	0	13047307	
